2026-06-09 22:13:57 - GET /logs/stream - 200 - 0.76ms
2026-06-09 22:14:05 - GET /docs - 200 - 1.11ms
2026-06-09 22:14:15 - GET /docs - 200 - 0.00ms
2026-06-09 22:14:16 - GET /logs/stream - 200 - 2.14ms
2026-06-09 22:14:25 - GET /docs - 200 - 2.04ms
2026-06-09 22:14:34 - GET /logs/stream - 200 - 2.31ms
2026-06-09 22:14:35 - GET /docs - 200 - 0.00ms
2026-06-09 22:14:45 - GET /docs - 200 - 0.00ms
2026-06-09 22:14:52 - GET /logs/stream - 200 - 0.86ms
2026-06-09 22:14:55 - GET /docs - 200 - 0.73ms
2026-06-09 22:15:05 - GET /docs - 200 - 0.00ms
2026-06-09 22:15:10 - GET /logs/stream - 200 - 2.02ms
2026-06-09 22:15:15 - GET /docs - 200 - 0.00ms
2026-06-09 22:15:25 - GET /docs - 200 - 0.00ms
2026-06-09 22:15:28 - GET /logs/stream - 200 - 1.01ms
2026-06-09 22:15:35 - GET /docs - 200 - 0.00ms
2026-06-09 22:15:45 - GET /docs - 200 - 1.10ms
2026-06-09 22:15:46 - GET /logs/stream - 200 - 1.99ms
2026-06-09 22:15:55 - GET /docs - 200 - 0.00ms
2026-06-09 22:16:04 - GET /logs/stream - 200 - 0.00ms
2026-06-09 22:16:05 - GET /docs - 200 - 1.00ms
2026-06-09 22:16:15 - GET /docs - 200 - 3.37ms
2026-06-09 22:16:22 - GET /logs/stream - 200 - 2.71ms
2026-06-09 22:16:25 - GET /docs - 200 - 1.62ms
2026-06-09 22:16:35 - GET /docs - 200 - 0.00ms
2026-06-09 22:16:40 - GET /logs/stream - 200 - 1.83ms
2026-06-09 22:16:45 - GET /docs - 200 - 0.99ms
2026-06-09 22:16:55 - GET /docs - 200 - 0.00ms
2026-06-09 22:16:58 - GET /logs/stream - 200 - 0.97ms
2026-06-09 22:17:06 - GET /docs - 200 - 0.00ms
2026-06-09 22:17:15 - GET /docs - 200 - 0.72ms
2026-06-09 22:17:16 - GET /logs/stream - 200 - 3.18ms
2026-06-09 22:17:25 - GET /docs - 200 - 0.00ms
2026-06-09 22:17:34 - GET /logs/stream - 200 - 1.12ms
2026-06-09 22:17:35 - GET /docs - 200 - 0.00ms
2026-06-09 22:17:45 - GET /docs - 200 - 1.12ms
2026-06-09 22:17:52 - GET /logs/stream - 200 - 1.90ms
2026-06-09 22:17:55 - GET /docs - 200 - 2.07ms
2026-06-09 22:18:05 - GET /docs - 200 - 0.00ms
2026-06-09 22:18:10 - GET /logs/stream - 200 - 2.66ms
2026-06-09 22:18:15 - GET /docs - 200 - 1.02ms
2026-06-09 22:18:25 - GET /docs - 200 - 0.00ms
2026-06-09 22:18:28 - GET /logs/stream - 200 - 1.51ms
2026-06-09 22:18:35 - GET /docs - 200 - 0.00ms
2026-06-09 22:18:45 - GET /docs - 200 - 0.00ms
2026-06-09 22:18:46 - GET /logs/stream - 200 - 0.00ms
2026-06-09 22:18:55 - GET /docs - 200 - 0.99ms
2026-06-09 22:19:04 - GET /logs/stream - 200 - 2.16ms
2026-06-09 22:19:05 - GET /docs - 200 - 0.00ms
2026-06-09 22:19:15 - GET /docs - 200 - 1.01ms
2026-06-09 22:19:22 - GET /logs/stream - 200 - 2.60ms
2026-06-09 22:19:25 - GET /docs - 200 - 0.00ms
2026-06-09 22:19:35 - GET /docs - 200 - 0.00ms
2026-06-09 22:19:40 - GET /logs/stream - 200 - 3.15ms
2026-06-09 22:19:45 - GET /docs - 200 - 1.00ms
2026-06-09 22:19:55 - GET /docs - 200 - 1.10ms
2026-06-09 22:19:58 - GET /logs/stream - 200 - 2.25ms
2026-06-09 22:20:05 - GET /docs - 200 - 0.99ms
